"fecha y hora del reporte (UTC)","longitud","latitud","estado del cielo","descripción del cielo","temperatura actual (°C)","temperatura mínima (°C)","temperatura máxima (°C)","presión (hPa)","humedad (%)","visibilidad (m)","velocidad del viento (m/s)","dirección del viento (°)","nubes (%)","hora del amanecer (UNIX)","hora del atardecer (UNIX)","zona horaria","nombre de la ciudad","id de la ciudad"
2024-08-14 01:40:02,116.3972,39.9075,Clear,clear sky,28.84,28.84,28.84,1011,58,10000,1.86,42,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:54:28,116.3975,39.9078,Clear,clear sky,28.84,28.84,28.84,1011,58,10000,1.86,42,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 01:54:28,116.3975,39.9078,Clear,clear sky,28.84,28.84,28.84,1011,58,10000,1.86,42,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 02:01:17,116.3972,39.9075,Clear,clear sky,28.84,28.84,28.84,1011,58,10000,1.86,42,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 02:15:00,116.3972,39.9075,Clear,clear sky,28.84,28.84,28.84,1011,58,10000,1.86,42,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 02:37:29,116.3972,39.9075,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 02:37:29,116.3972,39.9075,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 02:37:29,116.3972,39.9075,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 02:51:51,116.3972,39.9075,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 02:51:51,116.3972,39.9075,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 03:05:01,116.3972,39.9075,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 03:23:34,116.3972,39.9075,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 03:22:08,116.398,39.908,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 03:22:08,116.398,39.908,Clear,clear sky,29.74,29.74,29.74,1011,55,10000,2.08,75,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 03:41:18,116.3972,39.9075,Clear,clear sky,30.58,30.58,30.58,1010,53,10000,2.04,99,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 03:40:41,116.3972,39.9075,Clear,clear sky,30.58,30.58,30.58,1010,53,10000,2.04,99,0,1723584317,1723633987,28800,Beijing,1816670
2024-08-14 03:40:41,116.3972,39.9075,Clear,clear sky,30.58,30.58,30.58,1010,53,10000,2.04,99,0,1723584317,1723633987,28800,Beijing,1816670
